id,complaint_text,intended_urgency,intended_emotion,scenario,style,channel
17,"Dear Support,
Account: ACC-770011
On 2026-01-18 my phone began intermittent rebooting. I have taken the device to a store (visit 2026-01-21) and spoken to two advisors (names: Claire and Marcus). Below are the relevant details:
- Device: Galaxy S22, IMEI 490123456789012
- Purchase date: 2024-11-10
- Issue first occurred: 2026-01-18 (restarts approx every 2–3 hours)
- Attempts made: factory reset (2026-01-20), software update (2026-01-20)
- Store visit outcome: advised to log a warranty repair (REF-20260121-REP)
I request a repair authorisation, an estimated repair time, and confirmation whether a replacement device is possible under warranty. Please also confirm how data will be handled during repair. ACC-770011.
Thank you for your assistance.",Low,Low,Complaint handling process failure,Polite but firm,live chat
18,"Account: ACC-337790
Device: iPhone 12
IMEI: 357890123456789
Problem: Screen has developed vertical lines after a fall on 2026-01-09. I contacted support on 2026-01-12 and was advised to raise a warranty claim (REF-20260112). Please confirm whether this is covered under my device protection plan and advise next steps for repair or replacement. I would prefer a mail-in repair or drop-off appointment. Thank you.",Low,Low,Device / handset fault or warranty dispute,Verbose and detailed,online form
19,"@MyNetCare My account ACC-004412 has had three open tickets for different problems for over a month. I’ve reported a slow broadband, a handset fault and a billing mismatch. REF-20260102, REF-20260115, REF-20260128. Please can someone provide a single summary update? No rush, just clarity would be appreciated.",Low,Low,Device / handset fault or warranty dispute,Polite but firm,online form
20,"Dear Support,
I purchased my handset from you in September 2024 (ACC-224466). In November 2025 the screen began to flicker and in December 2025 the camera failed. On 2026-01-10 I attended your city centre store and the assistant took details and suggested a repair. The repairs department returned the device on 2026-01-24 with the camera still faulty. I would like you to arrange a full diagnostic and either a confirmed repair schedule or a like-for-like replacement. I am happy to provide further receipts and the repair reference (REP-20260124) if required.
Kind regards,
Alex Greene",Low,Low,Multiple unresolved issues over time,Terse and minimal,social media
21,Hi — contract ACC-558811. My partner moved house and I had to cancel an add-on line; we were charged an early termination fee of £120 on 2026-01-03. I was under the impression this specific add-on could be cancelled without fee per the advisor on 2025-12-20 (sales ref SALE-20251220). Can you review this charge and confirm whether the fee can be waived? Please update when convenient. Thanks.,Low,Low,Device / handset fault or warranty dispute,Narrative / storytelling,email
22,"Hi, quick note on an overcharge: my bill shows a one-off fee of £3.99 for caller ID on 2026-01-28 that I do not recall subscribing to. ACC-668800. I can wait for a full investigation, but a correction would be appreciated when possible. Thanks for looking into REF-20260201.",Low,Low,Contract dispute / early termination fee,Casual conversational,social media
23,"Hello,
Account: ACC-441233
I am writing to report repeated poor indoor coverage at my flat (postcode N1 7GU). Calls drop and 4G is inconsistent between 18:00 and 22:00 most evenings. I have logged this informally via chat twice (REF-20260111 and REF-20260125) and was promised an engineer visit; to date no appointment has been made. Please can you advise on next steps to assess indoor coverage and whether a signal booster or alternative solution is possible. I am not without service but would appreciate a scheduled assessment.
Regards,
Maya R.",Low,Low,Billing overcharge / unexpected fees,Passive-aggressive / sarcastic,live chat
24,"Dear Support,
Account ACC-992211
I purchased my handset from an authorised retailer on 2024-10-02. On 2025-12-12 the screen stopped responding and the phone repeatedly booted. I called support on 2026-01-05 and lodged a claim (REF-20260105-WTY). I have followed the troubleshooting steps suggested by two agents and the issue persists. Please let me have a timeline for repair or replacement and confirmation that data will be backed up or instructions for a safe backup prior to any repair. I can attend a store appointment if required.
Yours faithfully,
Rebecca H.",Low,Low,Network outage / poor coverage,Passive-aggressive / sarcastic,email
25,I signed up for a new package on 2026-01-03 after speaking to a sales rep who said the plan included unlimited international minutes to EU numbers. My contract (ACC-882244) states international minutes are capped. I have the sales call reference SALE-20260103 and would like a review of the call recording to confirm what was promised and how the discrepancy will be resolved. I can wait for a response.,Low,Low,Mis-selling / misleading sales practices,Narrative / storytelling,online form
26,Account ACC-7291834: On 01/02/2026 my plan was downgraded to 'Essential 10GB' without my consent. I did not request this change. My bill still shows charges for '200GB Plus'. Please reinstate my original plan and correct the billing. REF-20260201.,Low,Medium,Service downgrade without consent,Terse and minimal,online form
27,"Hi, I'm on the SuperFast 100 package but since 05/02 my speed tests show 4–6 Mbps (attached screenshots). I've chatted twice already — spoke to Raj on 07/02 (chat ref CHT-3345) — but the issue persists. Can you please arrange an engineer or explain why speeds drop so low? I'm disappointed and would like this investigated within a week.",Low,Medium,Slow or unreliable internet speed,Polite but firm,live chat
28,"Hello, I am contacting you regarding an incident on 09/02/2026 when your advisor, 'Sophie', was dismissive and unhelpful during my live chat (chat ref 981722). I explained the billing discrepancy in detail and was repeatedly told to 'wait six weeks' with no clear justification. This service is unacceptable. I expect a formal apology, an explanation of your process for resolving billing errors, and confirmation of corrective action within 10 working days.",Low,Medium,Rude or unhelpful customer service,Formal professional,live chat
29,"Hi there,

I'm writing because my accessibility requirements (large-print bills and BSL interpreter option) were not recorded when I spoke to customer services on 03/02. The agent—Mark—said he'd add it, but my online account still shows no notes. I'm mildly frustrated as this makes managing my account harder. Can you please confirm you will update my preferences and tell me how long that will take?

Thanks,
Lucy Patel",Low,Medium,Accessibility needs not met,Casual conversational,email
30,"Account: REF-20240115-BILL

Summary: Unexpected roaming charges after a short trip to Spain.

Details: I travelled to Barcelona from 15/01/2026 to 19/01/2026. Before travelling I called on 13/01 (call ref 887221) and explicitly asked about roaming rates, and was told that my 'International Lite' add-on would cover data and texts. My bill for January now contains a roaming charge of £34.17 for data on 17/01 and £12.50 for calls on 18/01. I have screenshots of the call notes from your agent (name given as Claire) and the on-screen confirmation message which said roaming included. I have already completed the online disputes form on 22/01 and spoken with your billing team twice (24/01 with Tom, ref BILL-445) who said they'd escalate, but there's been no resolution.

I am requesting a full reversal of the disputed roaming charges and a written explanation of why the add-on did not apply. This is frustrating and has taken too long; please respond within 14 days with a clear remediation plan.

Regards,
Mohammed Rahman
Account number: 441-998-772",Low,Medium,Roaming charges / international billing,Verbose and detailed,online form
31,"I was at home on 11/02/2026 hosting a small online meeting and the network dropped repeatedly for three hours. It started at 10:05am and didn't fully stabilise until 13:10. I made three attempts to call support — waited on hold twice, then used the chat — and nobody could explain why the mast shows 'good' on your status page while I'm losing calls. I've been with you since 2018 and this level of unreliability is frustrating. Can you check mast 54C (near 12 High Street, postcode ME7 3BN) and let me know what's being done? I can wait for an engineer but want an update on planned fixes.",Low,Medium,Network outage / poor coverage,Narrative / storytelling,live chat
32,"I started the number transfer on 02/02/2026 and was told it would complete within 48 hours. It's now 12/02 and my old number still isn't ported; calls to the new SIM go to voicemail and my old provider says the PAC was sent on 03/02. I was passed between teams: 'Transfers' said the delay was with your 'Networks' team, who said the PAC wasn't received. I was given two different reference numbers—PORT-20260204 and TRANS-5612—and nobody can tell me the status. This is annoying as I use this number for work contacts. Please provide a clear timeline and confirm when the port will complete.",Low,Medium,Porting / number transfer issues,Narrative / storytelling,live chat
33,"Dear Customer Relations,

I am writing because on 08/02/2026 I was treated rudely by an agent called Darren during a call about my direct debit. He interrupted me repeatedly, refused to provide his surname and claimed he 'couldn't find anything' when I had already supplied my account number (ACC-005492). I am aware of my rights under the Consumer Rights Act and the FCA guidelines about fair treatment; being brusque is not acceptable. I require a full account of what happened, evidence of the call recording, and confirmation that staff will receive retraining. I expect a substantive response within 14 days.

Yours sincerely,
Eleanor Finch
Account: 005492",Low,Medium,Rude or unhelpful customer service,Legalistic / rights-aware,email
34,"Hello,

My phone, a Catalyst X1 purchased from you on 14/09/2025, developed a fault — the screen flickers and the touchscreen becomes unresponsive — after three months. I sent it in for repair on 27/11/2025 (repair ref RPR-1093) and was told it was covered by warranty. Instead of being repaired I received an identical refurbished unit which started doing the same thing last week. Marvelous. I have to say, I'm thrilled to be taking my phone to a shop again for the pleasure of arguing over warranty terms.

Please arrange a proper repair or a replacement unit under warranty and let me know when I can drop the handset off. I'd rather not spend hours on hold again.

Regards,
Simon Clarke",Low,Medium,Device / handset fault or warranty dispute,Passive-aggressive / sarcastic,email
35,"Hi,

Thank you for moving my number so promptly... or not. You started the port on 28/01/2026 and promised completion within 24 hours. It's now 11/02 and my voicemail is full of messages from clients who can't reach me. I'm told by your team that 'there's nothing we can do'—how comforting. Perhaps you enjoy inconveniencing people; if so, do let me know so I can cancel everything and join someone who values customers.

Anyway, please fix the port (ACC-332211) and confirm a completion time.

Best,
Amelia Ford",Low,Medium,Porting / number transfer issues,Passive-aggressive / sarcastic,email
36,"Hey, my new handset (invoice INV-33478, delivery 10/01/2026) has started randomly rebooting while I am on calls. Called the helpdesk yesterday and the agent ran the basic checks but then said 'it's just the phone' and closed the chat. The device is still under the 12-month warranty. I would rather not be told to 'try turning it off and on again' by a paid advisor — please arrange a repair or replacement and give me an RMA number so I can send it in. Chat ref: LIVE-7782.",Low,Medium,Device / handset fault or warranty dispute,Narrative / storytelling,live chat
37,"I have attempted to cancel my broadband twice: initially on 04/02/2026 (agent Zoe, ref CAN-441) and again on 09/02/2026 (agent Mahmood, ref CAN-459). Each time I was promised email confirmation; neither arrived. When I asked for a written confirmation in the chat today, the agent referred me to retention and put me on hold for 20 minutes before closing the chat. This is unprofessional. Please confirm my cancellation and provide the final account balance and closure date in writing within five working days.",Low,Medium,Service cancellation difficulty,Formal professional,live chat
38,"Hello — billing query. Account 772-334: my February statement includes a £19.99 'service admin fee' that was not mentioned when I changed my package on 02/01 (I moved from 'Family 50' to 'Essentials Plus'). I called on 04/02 and was told the fee was a one-off; the agent (Liam, ref 6612) said they'd credit it back. The credit never appeared. Also there is an extra line charge of £7.50 for a device I returned in December (RMA-998). I've spent over an hour across three chats and am getting nowhere. Please itemise all charges for Jan–Feb and either refund the admin fee and remove the returned device charge or provide evidence of the contrary.",Low,Medium,Billing overcharge / unexpected fees,Verbose and detailed,live chat
39,"@YourProvider I've been a customer for 8 years and was promised a retirement plan discount by your retention team during my last contract renewal call (23/01/2026, agent Paula, ref RET-223). Today I received an email offering a smaller discount than discussed — and no explanation. As a long-standing customer this is disappointing. Please review my case (Account 998-007) and restore the agreed offer, or explain why loyal customers are losing out. #CustomerService #Loyalty",Low,Medium,Customer loyalty not rewarded / retention offer dispute,Verbose and detailed,social media
40,"Hi — urgent for your records: I am a vulnerable customer and yesterday (10/02) the advisor declined to note my communication needs when I asked for a simplified bill and voicemail transcriptions. I was short with your staff and felt dismissed. I don't require immediate medical assistance, but I do require that my account be handled with care. Please record my vulnerability flag on ACC-441122 and confirm the reasonable adjustments within five working days.",Low,Medium,Vulnerable customer mistreatment,Terse and minimal,live chat
41,"Dear @YourProvider,

I am writing about an incident on 05/02/2026 where the retention offer promised on the phone (REF: RET-1209) was not honoured. I have been a customer for 12 years and was told I would receive a 25% reduction for 12 months; the email I received later offered only 10%. I have already raised this with support (chat ref 7643) and requested escalation. As this involves my account pricing, please DM me to resolve and provide the correct amended contract or a clear explanation of why the original offer cannot be honoured.

Kind regards,
Thomas Avery
Account: 112-334",Low,Medium,Customer loyalty not rewarded / retention offer dispute,Formal professional,social media
42,"I am 68, partially sighted and rely on clear, large-print invoices. On 02/02 I sent an email asking for large text and simple billing, but when the technician visited on 06/02 no note was on my account and he handed me a standard printout. I had to ask a neighbour to read it. That is not acceptable. I expected better after explaining my needs on the phone. Please ensure the accessibility note is added and confirm next steps in writing.

Sincerely,
Margaret O'Neill",Low,Medium,Vulnerable customer mistreatment,Narrative / storytelling,email
43,"I need clarification about my early termination fee. I cancelled my contract on 15/01/2026 because I’m relocating abroad for work (moving date 01/03). My Final Charges statement shows an ETF of £145. I'm aware of the pro-rata rule but the calculation shown is unclear — it lists 11 months remaining at £15.45 without explaining discounts or handset subsidy contributions. Please recalculate and, if possible, waive part of the fee due to relocation. Account ACC-554433. I expect a response within two weeks.",Low,Medium,Contract dispute / early termination fee,Polite but firm,online form
44,"Thanks for your help earlier — or at least the theatrical hold music. After speaking to two different agents today (refs 9987 and 9988) about being put on a 'priority callback list' that never happened, I'm left wondering if 'priority' is code for 'never'. Please stop promising callbacks and actually do them, or stop using the term. My issue: wrong charges on my January bill (ACC-2219). Fix it.",Low,Medium,Rude or unhelpful customer service,Passive-aggressive / sarcastic,online form
45,Porting started 04/02/2026 and it's still not done. Your site says 'in progress' and nobody in support can give a completion date. Lovely. Could someone please move my number to the correct SIM before my voicemail fills again? REF PORT-904.,Low,Medium,Service downgrade without consent,Terse and minimal,live chat
46,"I had an unpleasant call with customer services on 08/02 — the agent was short, didn't explain the charges on my bill, and hung up while I was asking for clarification. I'd prefer not to be spoken to like that. Please review the recording (call ref 8832) and provide a proper explanation of the disputed items within five working days.

Regards,
Neil Hart",Low,Medium,Porting / number transfer issues,Passive-aggressive / sarcastic,online form
47,"@YourProvider My port still hasn't completed and your status page shows 'done' — which is helpful for absolutely no one. Port initiated 06/02, REF PORT-061. Can someone update publicly when it's resolved? I'm losing calls. #porting",Low,Medium,Rude or unhelpful customer service,Terse and minimal,email
48,"Hello — my eSIM activation is failing. I scanned the QR on 09/02 but the eSIM profile doesn't register; the phone reports 'profile download failed'. ICCID on the plastic SIM was 8944-7723-001; device IMEI 356789012345678. I've tried activation twice and rebooted. Your chat suggested waiting 24 hours (chat ref LIVE-907), but that was a day ago and nothing changed. Please escalate to technical support and confirm what you will do and when.",Low,Medium,Porting / number transfer issues,Terse and minimal,social media
49,"Dear Customer Services,

I am writing to explain how your failure to provide accessible billing is causing ongoing stress. On 12/01/2026 I telephoned to request large-print bills and an option for bill explanation via telephone rather than online statements — the agent (Karen) said this would be added and gave me the case number ACC-889001. I received an automated email the next day, but my March bill arrived as a standard PDF even though I had emphasised my visual impairment and the importance of receiving large text. When I called on 02/02, I was transferred three times and finally told 'we don't have that option on your account' despite the earlier assurance.

This is not a dramatic emergency but it is important: I need accessible bills to manage my finances. Please (1) confirm that the accessibility flag is now applied to my account, (2) send the March bill in large-print by post, and (3) explain what went wrong so this does not recur. I would appreciate a response within 10 working days.

Yours faithfully,
Diane Mercer
Account: 889001",Low,Medium,SIM card / eSIM activation problem,Polite but firm,live chat
50,[GENERATION FAILED — re-run needed],Low,Medium,Accessibility needs not met,Narrative / storytelling,email
51,"Hi — I started porting my number on 03/02/2026 (ACC-982314) and it's now 12 days later and the whole thing has become a farce. I was told by your agent Claire in the store on 03/02 that the transfer would take 48 hours; I then spoke to Tom on phone on 06/02 who told me the donor network had 'delayed the paperwork', and on 09/02 I chatted with Maya who promised an engineer would 'kick it through'. My old SIM still works, the new one shows 'pending' and I have an overlapping voicemail with two networks — utterly messy. I can afford to wait but I am absolutely livid at the incompetence and the conflicting information. I booked a day off to sort this and wasted it. My number is 07745 321987; reference REF-20260203-PORT. Please stop passing the buck and tell me, in plain English, when the port will actually complete. I want a named contact who will follow this through. This is minor in the grand scheme but the way it has been handled is appalling.",Low,High,Porting / number transfer issues,Narrative / storytelling,live chat
52,"Dear Sir/Madam,

I am writing with extreme concern about a potential data breach linked to my account (ACC-741209). On 28 January 2026 I received a text from an unknown number saying, ""We have your bill details"" followed by my full billing amount and partial card digits — how they obtained that is inexplicable. I called your privacy team on 29 January and spoke with Hannah (case REF-20260129-PRIV). She said she would escalate to IT but I have had no substantive update despite three follow-ups on 04/02, 11/02 and 18/02. Each time I was promised a timeline which was not met.

I am deeply distressed and frankly terrified that my financial and personal data may be circulating without my consent. I am not asking for platitudes: I want a detailed account of what information was exposed (full list), how it happened, which internal systems were implicated, the identities of any third parties who had access, and the mitigation steps your company has taken. Please provide logs showing access to my account between 20/01 and 30/01 and confirm if my data has been shared externally. I am considering reporting this to the ICO and seeking legal advice if I do not receive a comprehensive response within 10 working days.

This may be 'low urgency' in that no money has been taken yet, but my trust has been destroyed and I expect transparent, forensic-level answers. I look forward to your full response.

Yours faithfully,

Eleanor Pritchard
Account: ACC-741209
Contact: eleanor.pritchard@email.example",Low,High,Data breach / privacy concern,Verbose and detailed,email
53,"Hello,

I am absolutely furious about a charge on my bill (ACC-614902, REF-20260210). On 10 February I was billed £17.99 for ""late network admin fee"" which was never mentioned when I upgraded in December. I called on 11/02 and spoke to Gareth who admitted it was ""possibly a system default"" and promised to reverse it. Yesterday 16/02 the charge still appeared — now with an extra £2.50 ""processing"" line. I can wait for corrections, I don't need immediate action, but I am appalled at the laziness here. I have been a customer since 2016; I upgraded on 02/12/2025 after being promised no hidden fees. Your advisors assured me I would only pay the plan rate and a one-off set up, which was done.

This is not about the money — it's about being misled and then ignored. Please remove the fee, refund the processing charge, and explain why your billing system keeps inventing fees. If I don't have confirmation within 7 working days I will consider escalating formally.

Regards,

Mark Ainsworth",Low,High,Billing overcharge / unexpected fees,Narrative / storytelling,email
54,"Account ACC-559001.

Speed still awful. Have run the tests 3 times. Reported 05/02, ref REF-20260205SPEED. I'm extremely annoyed. It slows streaming and web pages load like it's 2005. Please fix — or tell me why I should keep paying full price for this patchy service. I don't need a promise now; I can wait but I want this escalated properly.",Low,High,Slow or unreliable internet speed,Terse and minimal,email
55,"Account number: ACC-803214

I have been a customer for seven years and was offered a retention package when my contract came up on 01/02/2026. I was told a discount would be applied to my next bill. The new bill shows no discount and full roaming charges. I can wait for correction, but I'm furious I was promised something and it wasn't honoured. REF: RET-20260201.",Low,High,Customer loyalty not rewarded / retention offer dispute,Terse and minimal,online form
56,"Name: Louise Carter
Account: ACC-672233

I renewed in January and was promised loyalty discount. Billing still full. Have phoned twice. Not urgent but I am extremely annoyed and expect a proper explanation and the discount applied.",Low,High,Vulnerable customer mistreatment,Casual conversational,email
57,"Hi,

This is not a formal letter, just me as a customer utterly shaken by how a vulnerable customer's needs were ignored by your staff. Account ACC-447799 is in my mother's name (I am Tom Reynolds and act as her carer). She is registered as vulnerable with you since 2019 due to mobility and memory issues. On 08/02/2026 I phoned to update contact details and to ask for paper bills only. The representative, Paul, told me he couldn't find the vulnerability flag and bluntly said, ""We don't do carers"" — then put us on hold for 35 minutes and dropped the call. I had a panic attack after and had to cancel an appointment for the day because Mum was distraught.

I do not want the dramatic language of a regulator email; I want this fixed and for someone to accept responsibility. Please confirm the vulnerability flag has been reinstated, confirm the change to paper billing, and explain why your systems allowed this to be erased. I am angry and upset — but recognise this is a minor procedural failure in practical terms; still, the human impact was disproportionate. Please call me on 07712 554003 (Tom) — I don't want to repeat this ordeal.

Regards,

Tom Reynolds",Low,High,Customer loyalty not rewarded / retention offer dispute,Verbose and detailed,online form
58,"Account: ACC-318004
Retention reference: RET-20260115

I have been a loyal customer for nine years and was promised a retention package in January when my contract came up for renewal. On 15/01 I spoke to Sophie in retention who explicitly offered a £10 monthly discount for 18 months plus a free handset upgrade in March. I accepted and was told confirmation would arrive by email (it did not). On 02/02 I received a bill showing the full price and a notification that my 'upgrade window' was not yet available.

I completed an online chat on 04/02 (agent Kurt) who said the offer was recorded and a credit would appear on next bill. Nothing. I called again on 11/02 — different answer: ""the promotion expired"" — which is nonsense because Sophie told me it was guaranteed for my account.

I want a full explanation of why a sales promise made by an authorised retention agent was not honoured, immediate application of the £10 discount backdated to 15/01, plus written confirmation of the handset upgrade commitment. I can wait a little while for correction but I am furious that after nine years the level of service and the cavalier attitude to promises is this poor. Please respond in writing to this form entry and escalate to retention manager Priya.",Low,High,Data breach / privacy concern,Narrative / storytelling,online form
59,"Account number: ACC-556120

On 06/02 I received an email stating my data was shared with a third-party partner for targeted offers. I did not consent to this — and the email included my usage summary and partial address. On 07/02 I completed the online privacy form and was told at the time of submission that a response would arrive within 10 working days (REF-PRIV-20260207). Today I received a generic reply that didn't answer whether my details were sold or merely used for in-house marketing. I have copies of the email and of the form submission confirmation.

I am extremely upset that my personal usage information was shown outside the company without clear consent. For a minor convenience issue this is stressful and I expect a thorough answer: a timeline of what was shared, to whom, and how you obtained explicit consent. Please include the legal basis you relied on for processing and details on how to opt out permanently. I am prepared to wait for a proper investigation but I want transparency and an assurance this will not happen again.",Low,High,Vulnerable customer mistreatment,Legalistic / rights-aware,social media
60,"@YourProvider I am beyond annoyed. Direct debit failed on 12/02 because your system debited £0.01, then later tried the full amount and doubled up on 13/02. My bank shows one pending payment then a second. This is causing me hassle to reconcile. My account ACC-501220, ref DD-20260212. Call centre gave me different stories — now I have to chase my own bank. Not urgent but this incompetence is infuriating.",Low,High,Data breach / privacy concern,Verbose and detailed,social media
61,Agent: your live chat told me the unlimited data plan would include tethering and no throttling. On 02/02 my phone slowed when I tethered my laptop — streaming cut out and speeds dropped below 1Mbps. I chatted on 03/02 with Jess who admitted the 'fair use' policy kicks in at 10GB tethering. That was never mentioned when I signed up on 28/01. I feel cheated; I can wait for a fix but I'm furious at the misleading sales claim. My account ACC-776430 and ref MIS-20260203.,Low,High,Direct debit or payment processing error,Casual conversational,social media
62,"Account: ACC-888002
Retention ref: RET-20260215

I was told in January that loyalty would be recognised with a reduced monthly fee. I completed the online form and it said a response would follow. The package hasn't been applied to my bill. I'm furious. Please apply the promised discount and stop treating long-standing customers like an afterthought.",Low,High,Mis-selling / misleading sales practices,Narrative / storytelling,live chat
63,"Name: Aisha Khan
Account: ACC-430112

I am registered blind and rely on your app's voiceover support to manage my account. On 01/02/2026 the latest app update removed several labelled buttons and made the payment flow inaccessible. I called customer support on 02/02 and spoke with Matt who said the app 'should still work' and offered to send an email link — which is useless for me because I can't confirm payments without the app labels. I have used your service for six years and never had this kind of barrier. I feel helpless and betrayed by a company that claims to support accessibility but pushes updates without proper testing.

I don't expect an instant fix, but I insist that your app team prioritises restoring labelled controls for screen readers and that I am offered a temporary alternative phone-based payment process that is truly accessible. Please escalate to your accessibility lead and contact me at 0208 555 4412 (voice preferred). This has been happening for two weeks and it's intolerable.",Low,High,Customer loyalty not rewarded / retention offer dispute,Terse and minimal,online form
64,"Dear Data Protection Officer,

I write on account ACC-993321 to report an incident that left me shocked and anxious. On 22/01/2026 I received a call from one of your salespeople who quoted my recent usage statistics and offered me a 'tailored' package. I have never given permission for my usage profile to be used in cold calls. I complained on 23/01 to customer services (agent Luke) and was told a formal complaint would be lodged (REF-DP-20260123). Weeks later, on 10/02, I received an automated email acknowledging receipt but no substantive answers.

Please provide a full account of the lawful basis you relied upon to use my data for outbound marketing, confirm whether profiling was involved, list any third parties who accessed my profile, and provide copies of any consent records you hold for my account. I am extremely distressed that my private usage data is apparently used as a sales tool. I can wait a reasonable time for your response, but be under no illusion: this has destroyed my confidence in you and I will report to the ICO if I do not receive a complete reply within 14 days.

Yours sincerely,

Nathaniel Hargreaves
ACC-993321",Low,High,Accessibility needs not met,Narrative / storytelling,online form
