id,complaint_text,intended_urgency,intended_emotion,scenario,style,profile,history
43,"I have followed up frequently regarding my account but still have not received any updates on the inquiries I’ve made. As a parent managing a family plan, it is important to have clear communication. I would appreciate insights into when I can expect resolution.",Low,Low,Overcharging & Incorrect Billing,Casual conversational,Parent managing a family plan,Repeat complainer — has contacted 3-5 times over weeks
44,"Despite having contacted your team several times, I still have not received any updates about my previous inquiry. Clear communication remains a challenge, making the navigation of my account cumbersome. A comprehensive update would greatly assist in understanding the current status.",Low,Low,Lack of Progress Updates,Formal professional,Student on a tight budget,Second attempt — raised once before with no resolution
45,"I have made multiple inquiries about my service progress and would like to receive an update on my case. As a young professional engaged in technology, timely information is critical for managing my commitments. Regular updates would be beneficial.",Low,Low,Lack of Progress Updates,Formal professional,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
46,"I have been attempting to resolve issues with your AI support for several weeks now, having contacted customer service four times since early November. Each interaction has led to generic responses without offering actual solutions to my queries. I would appreciate any clarification on how to access effective human support.",Low,Low,Ineffective AI / Chatbot Support,Casual conversational,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
47,"I have noted an unexpected increase in my monthly charges as of this month, namely from £49.99 to £54.99. I've previously contacted your support team multiple times regarding my concerns, including discussions with your representative, Sarah, last week. As a small business owner, I depend heavily on consistent pricing and would like an explanation for this increment.",Low,Low,Mid-Contract Price Increase,Formal professional,Small business owner relying on service for livelihood,Repeat complainer — has contacted 3-5 times over weeks
48,"In reviewing my recent invoice dated 10th of this month, I've observed an increase in the monthly fee for the family plan I manage. This is my second attempt to address this increase, as I raised my concerns during a call on the 1st of November, but have yet to find a satisfactory resolution. I'm seeking details on why this adjustment was made mid-contract.",Low,Low,Mid-Contract Price Increase,Verbose and detailed,Parent managing a family plan,Second attempt — raised once before with no resolution
49,"I have encountered an unexpected charge of £10.00 on my latest bill, which was not communicated previously. After exhausting typical customer service channels, I would like to escalate this issue for further investigation and would like to speak with a manager or the ombudsman regarding this charge.",Low,Low,Hidden Fees & Charges,Terse and minimal,Small business owner relying on service for livelihood,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
50,"Over the past few weeks, I have noted inconsistencies in the pricing of my service. My previous interactions with your support team included a conversation with Tom on November 5th, where I was informed that my contract would not change. However, subsequent bills reflect a different amount, which requires clarification.",Low,Low,Mid-Contract Price Increase,Narrative / storytelling,Small business owner relying on service for livelihood,Repeat complainer — has contacted 3-5 times over weeks
51,"In reviewing my latest invoice, I found an unanticipated charge of £15.00 that was not outlined in any earlier communications. After contacting support three times over the last month without resolution, I seek clarity on where these fees originated and why they were not communicated visually in advance.",Low,Low,Hidden Fees & Charges,Verbose and detailed,Small business owner relying on service for livelihood,Repeat complainer — has contacted 3-5 times over weeks
52,"I recently changed my broadband provider and have found the speeds promised not matching the actual speeds received. This is my first contact regarding the issue, and I would appreciate guidance on steps for addressing or rectifying this discrepancy.",Low,Low,Slow Broadband Speeds,Narrative / storytelling,Recently switched from another provider,First contact — raising the issue for the first time
53,"After my initial query about slow internet speeds, I am contacting again to express my continued concerns about performance. My previous correspondence on October 25th indicated slow speeds averaging 5 Mbps when I was promised at least 30 Mbps. Additional assistance or an explanation would be appreciated.",Low,Low,Slow Broadband Speeds,Verbose and detailed,Parent managing a family plan,Second attempt — raised once before with no resolution
54,"Despite my attempts to resolve issues with your AI support, no effective solutions have been presented. I have reached out on three occasions in the past two weeks but have not received satisfactory responses. A review of this support system may be necessary to improve customer experience.",Low,Low,Ineffective AI / Chatbot Support,Casual conversational,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
55,"Having raised concerns previously regarding slow broadband speeds averaging below the contractually agreed amounts, I am following up on this issue again. My earlier communication on October 20th did not yield a resolution, and I continue to seek clarification on the bandwidth I should expect.",Low,Low,Slow Broadband Speeds,Terse and minimal,Student on a tight budget,Second attempt — raised once before with no resolution
56,"The network coverage in my area consistently fails to meet the advertised service levels, creating difficulties in reaching essential services. I have documented my attempts to address this issue and now require further assistance beyond standard channels as I have exhausted my options.",Low,Low,Poor Network Coverage,Verbose and detailed,Vulnerable customer with disability or health condition,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
57,"The excessive wait times I have experienced when trying to reach customer service have become problematic. I have contacted your support five times over the last month, with average waiting times exceeding 30 minutes. Verifying my rights regarding service access may be necessary.",Low,Low,Long Call-Waiting Times,Legalistic / rights-aware,Recently switched from another provider,Repeat complainer — has contacted 3-5 times over weeks
58,"I am writing to address the frustrating experience I encountered while trying to cancel my service. I would like to formally request confirmation of my cancellation, as this is my first time reaching out about this matter. I appreciate your process clarification.",Low,Low,Difficulty Cancelling Service,Legalistic / rights-aware,Small business owner relying on service for livelihood,First contact — raising the issue for the first time
59,"I am contacting you regarding persistent network coverage issues in my area, which seem to be unresolved despite my previous attempts to raise this matter. As the concerns have not been adequately addressed, I would like to escalate to a manager or the ombudsman for further assistance.",Low,Low,Poor Network Coverage,Legalistic / rights-aware,"Elderly customer, not confident with technology","Escalation — has exhausted normal channels, requesting manager/ombudsman"
60,"After reviewing my latest bill, I noted undisclosed fees amounting to £20.00 that were not outlined prior. Since this is my first inquiry about these charges, I look forward to your assistance in clarifying their origin and proper communication moving forward.",Low,Low,Hidden Fees & Charges,Narrative / storytelling,Small business owner relying on service for livelihood,First contact — raising the issue for the first time
61,"I have encountered recurring problems with my handset since I purchased it on 15th September. Earlier, I called customer service on 22nd September and spoke with Laura, but the problem persists. I am now requesting to escalate this matter to a manager for further assistance as I have exhausted the normal channels.",Low,Low,Faulty Hardware / Handset Issues,Casual conversational,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
62,"I noticed an unexpected £10 fee on my bill dated last week, which I was not informed about prior to the charge. I would like clarification on this fee, as this is my first contact regarding this issue and I feel it's important to understand why it was applied.",Low,Low,Hidden Fees & Charges,Narrative / storytelling,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
63,"I would like to address the recent auto-renewal of my contract without my consent. I became aware of this issue when I saw the change on my account on 1st October. Since this is my first inquiry, I would appreciate guidance on how to rectify this and ensure I remain informed in the future.",Low,Low,Auto-Renewal Without Consent,Legalistic / rights-aware,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
64,I received a notification about a mid-contract price increase on 20th September. I previously contacted support on 25th September about this increase to no avail. I am raising this issue again in hopes of a clear explanation regarding the rationale behind the increase. It seems significant without prior notice.,Low,Low,Mid-Contract Price Increase,Narrative / storytelling,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
65,"I have attempted to cancel my service multiple times over the past two weeks, most recently speaking to Chris on 3rd October. Each time, the process has proven difficult. I would like to formally request assistance in completing the cancellation of my account.",Low,Low,Difficulty Cancelling Service,Casual conversational,Student on a tight budget,Repeat complainer — has contacted 3-5 times over weeks
66,"Following our previous discussions on 1st October concerning the auto-renewal of my contract, I am again reaching out for a resolution. I believe this charge is incorrect, as I did not consent to an automatic renewal. I would like this issue escalated for resolution as I have previously made attempts without success.",Low,Low,Auto-Renewal Without Consent,Verbose and detailed,Student on a tight budget,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
67,"On 25th September, I was informed of a mid-contract price rise which I find troubling, given the agreement we initially established. Since this is my first query on the subject, I would like a breakdown of the reasoning behind this adjustment to my monthly fee.",Low,Low,Mid-Contract Price Increase,Narrative / storytelling,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
68,"I have experienced poor network coverage in my area, particularly during evenings. I am contacting you as a loyal customer for over ten years. This is my first inquiry on the matter, and I am seeking an assessment of potential solutions to improve service quality.",Low,Low,Poor Network Coverage,Polite but firm,Long-term loyal customer (10+ years),First contact — raising the issue for the first time
69,"I have been waiting for updates regarding my account issue since I first reported it on 15th September. Despite my follow-ups, I have not received any progress updates. As a parent managing a family plan, clear communication on such matters is preferred, hence this escalation to management.",Low,Low,Lack of Progress Updates,Narrative / storytelling,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
70,"I have found the AI support system quite unhelpful in resolving my concern. I reached out on 15th September but was unable to get to a satisfactory answer through the chatbot. As a long-time customer, I would like to voice my experience and request a more human interaction for assistance.",Low,Low,Ineffective AI / Chatbot Support,Casual conversational,Long-term loyal customer (10+ years),Repeat complainer — has contacted 3-5 times over weeks
71,"I reported functionality issues with my handset after purchasing it on 10th August and first contacted support on 4th September. Despite efforts to resolve these issues, the problems remain. I would like to escalate my complaint to a manager for action.",Low,Low,Faulty Hardware / Handset Issues,Verbose and detailed,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
72,"As an elderly customer, I was surprised to find that my last payment included an auto-renewal charge which I was unaware would occur. This is my first contact regarding this and I wish clarification on how to avoid this in the future.",Low,Low,Auto-Renewal Without Consent,Terse and minimal,"Elderly customer, not confident with technology",First contact — raising the issue for the first time
73,"After reviewing my last bill, I noticed that my account was overcharged by £5 for a service I did not use. This is my second mention of this issue, as I already reported it once last month without a resolution. I would appreciate immediate action on this matter.",Low,Low,Overcharging & Incorrect Billing,Terse and minimal,Vulnerable customer with disability or health condition,Second attempt — raised once before with no resolution
74,"I had difficulty with the chatbot’s responses on 12th October when attempting to get support for my account. Despite being tech-savvy, I found the system inadequate. Since this is my first attempt to report this issue, I would like to suggest improvements for clearer user interaction.",Low,Low,Ineffective AI / Chatbot Support,Casual conversational,"Young professional, tech-savvy, impatient",First contact — raising the issue for the first time
75,"Having recently switched from another provider, I was surprised to discover a loyalty penalty reflected in my initial billing. This marks my second attempt to address this matter after initially bringing it up on 7th October. I would appreciate clarification on these charges.",Low,Low,Loyalty Penalty,Formal professional,Recently switched from another provider,Second attempt — raised once before with no resolution
76,"I have contacted your support team several times over the past three weeks regarding my attempt to cancel my subscription. Despite my recent switch from your competitor, I find myself facing numerous barriers when trying to discontinue the service. Previous representatives, including Sarah and Mark, assured me of a straightforward process, yet I continue to receive conflicting information. This has been an ongoing issue, and I would appreciate a conclusive resolution so that I may move forward without the burden of this service.",Low,Low,Difficulty Cancelling Service,Verbose and detailed,Recently switched from another provider,Repeat complainer — has contacted 3-5 times over weeks
77,"As the owner of a small business, the inefficiency I have experienced while trying to cancel my service is concerning. I have made several attempts to resolve this matter through your standard customer support channels. My previous interactions have been documented with your representatives on 12th September and 15th September. I am now requesting that this matter be escalated to a supervisor or the ombudsman to ensure my rights are respected and that I can proceed with my business without undue delay.",Low,Low,Difficulty Cancelling Service,Legalistic / rights-aware,Small business owner relying on service for livelihood,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
78,"I am writing to inform you of my difficulties in cancelling my family plan. This is my first contact regarding this issue, as I have not previously needed to make any changes to our subscription. Upon reaching out today, I was informed about a cancellation fee that I was not previously aware of. If possible, I would like to clarify this information further and explore my options regarding the cancellation process.",Low,Low,Difficulty Cancelling Service,Formal professional,Parent managing a family plan,First contact — raising the issue for the first time
79,"Over the past few weeks, I have been experiencing broadband speeds significantly lower than what was contractually agreed upon. Despite my long-standing loyalty as a customer for over a decade, multiple calls have not resolved the situation. I wish to formally escalate this issue to a managerial level as I believe it's crucial to align my expectations with the service provided, given my uninterrupted history.",Low,Low,Slow Broadband Speeds,Formal professional,Long-term loyal customer (10+ years),"Escalation — has exhausted normal channels, requesting manager/ombudsman"
80,"Following my recent switch to your service, I have encountered persistent issues with network coverage in my area. My attempts to resolve this issue through customer support have not yielded any noticeable improvements. I am requesting that this matter now be escalated, as I have exhausted my options with the initial channels for assistance.",Low,Low,Poor Network Coverage,Formal professional,Recently switched from another provider,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
81,"I have noticed additional fees appearing on my latest bill, which I believe require clarification. As a vulnerable customer managing a health condition, it is important for me to understand any costs associated with my plan. This is my first point of contact regarding these hidden charges, and I would appreciate a detailed breakdown of the additional fees attributed to my recent billing cycle.",Low,Low,Hidden Fees & Charges,Polite but firm,Vulnerable customer with disability or health condition,First contact — raising the issue for the first time
82,"I would like to raise a concern regarding the penalties applied to my account despite my long-term loyalty. As an elderly customer, I find this situation confusing and would appreciate a comprehensive explanation. This is my first inquiry about the matter, and I would like to clarify whether such penalties are standard practice and who I might speak to for further assistance.",Low,Low,Loyalty Penalty,Verbose and detailed,"Elderly customer, not confident with technology",First contact — raising the issue for the first time
83,"As a small business owner, I am writing to report that my broadband speed is insufficient for my business needs. I have tried to resolve this matter on multiple occasions with your customer service team, and this is my first formal complaint. I ask that you review my account and provide clarity on actions that can be taken to restore adequate speeds.",Low,Low,Slow Broadband Speeds,Polite but firm,Small business owner relying on service for livelihood,First contact — raising the issue for the first time
84,"Since switching over to your network, I have experienced network coverage issues that affect my daily activities. I have not previously logged a complaint about this and would like to officially raise the matter. I would appreciate clarification on any options available for improving the situation moving forward.",Low,Low,Poor Network Coverage,Polite but firm,Recently switched from another provider,First contact — raising the issue for the first time
85,"I have raised multiple concerns regarding the cumulative penalties present on my billing statements since my renewed contract began. After discussing this with customer service on separate occasions in the last month, I would like to progress this query to a manager or ombudsman to obtain clarity on the situation.",Low,Low,Loyalty Penalty,Formal professional,Parent managing a family plan,"Escalation — has exhausted normal channels, requesting manager/ombudsman"
86,"Despite having reached out regarding overbilling discrepancies on three separate occasions since last month, the issues remain unaddressed. This is my second attempt to garner attention to these matters. I seek immediate clarification on the charges in question, which seem excessive compared to my usual billing history.",Low,Low,Overcharging & Incorrect Billing,Casual conversational,"Young professional, tech-savvy, impatient","Escalation — has exhausted normal channels, requesting manager/ombudsman"
87,"The ongoing discrepancies in my billing have prompted me to formally escalate this issue after having contacted your team several times over the past few weeks. During these calls, I have not received satisfactory explanations regarding the charges applied. I seek managerial intervention to resolve this matter efficiently.",Low,Low,Overcharging & Incorrect Billing,Terse and minimal,Long-term loyal customer (10+ years),Repeat complainer — has contacted 3-5 times over weeks
88,"Regarding your long call-waiting times, I would like to express my concern. I attempted to reach a representative for assistance last Thursday, and after a lengthy hold, I was disconnected. This is the second time that it has occurred, and I would appreciate an update on steps being taken to improve this aspect of customer service.",Low,Low,Overcharging & Incorrect Billing,Legalistic / rights-aware,"Young professional, tech-savvy, impatient",Repeat complainer — has contacted 3-5 times over weeks
89,I have also faced ongoing challenges related to my network coverage despite being a loyal customer for over ten years. Multiple attempts to resolve the issue through initial support channels have not led to any resolution. I request that this concern be escalated for further investigation and support.,Low,Low,Long Call-Waiting Times,Terse and minimal,"Elderly customer, not confident with technology",Second attempt — raised once before with no resolution
90,"As a long-term customer experiencing significant issues with billing, I wish to formally raise a complaint regarding the overcharging on my recent invoices. I have contacted customer service on multiple occasions over the past several weeks but have not yet received a satisfactory resolution. I would like this matter to be addressed by a manager or appropriate authority.",Low,Low,Poor Network Coverage,Narrative / storytelling,Long-term loyal customer (10+ years),"Escalation — has exhausted normal channels, requesting manager/ombudsman"
91,"I am contacting you again regarding the absence of updates related to my service request made on 4th August. During my last call on 11th August, I spoke with a representative who assured me that I would receive further information. However, it has now been over a week with no communication, which is concerning.",Low,Low,Lack of Progress Updates,Narrative / storytelling,"Elderly customer, not confident with technology",Second attempt — raised once before with no resolution
